from_address,to_address,value,is_fraudulent,predicted_score,predicted_fraud
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd707ac0098599006f0857e8da4c950795645ba01,1.8e+18,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xb8f6e76d34d4877732dfefa6b6a4e2a834a9092b,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x5ec492652d7b92421680f21169ff6a8dbbc622ab,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xdf01b231b53d8b4cbb1b092a8dc86730cebf4aa9,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xaa4b9693c54029d180134161cc99e98b76cea249,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xaa37931c32c5255facf6ddf12660c5d99d5905fe,452720000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xc9e132df18ca07dc71fae13142bec7837dc5cfc3,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xfe3c6324ad9ea5ab6b53c0d5b1e0020c85992c7c,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xab8c58a3f90f3d5fd7c2ee709c3ce1c82d0246e1,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xac2fc3ee924cbcdd1a59321b41ffe972373e61b2,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xb60aa97ec3b31cdb10975b664fb5e7cade4af619,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xfe3c6324ad9ea5ab6b53c0d5b1e0020c85992c7c,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x7131153263e40971c7ae039363173955f9dd225d,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xb60aa97ec3b31cdb10975b664fb5e7cade4af619,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xcbabf754faca84501dc48a1a0426a48eb58250ef,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xbd62cbef35b72119fb2852f1e797ab20acf2a37a,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x11e041a40677a8ea1cb5aa6cc6983a6f9f37fa20,457060000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xfe3c6324ad9ea5ab6b53c0d5b1e0020c85992c7c,7500000000000000.0,0,0.05,0
0x323b10c39732f689a4763fbeebc2347a24b863e2,0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,4.96e+16,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xdf01b231b53d8b4cbb1b092a8dc86730cebf4aa9,7500000000000000.0,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x779a6a0146ab91b24cb0aeae7266bdeb69b043de,2.44e+16,0,0.05,0
0xd063435d7cab1a792e1d56f7aab04313b3d87179,0x2e0207b0535e4de05811083b66f6b9cdd2a8e934,2.82e+18,0,0.1,0
0x7b5ac12cf1982edf052538a6eba76c28e0b71938,0xfb2d0b0e3f74a2be7d94a3490912c42114c3c3c5,2.15e+20,0,0.2,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0xf18201578b6bb5d05fe64bf44878a8b78f001299,1.28e+17,0,0.05,0
0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,0x4feb4ed677132ad71137b021eb9a2d179d942d67,1.51e+18,0,0.1,0
0xd063435d7cab1a792e1d56f7aab04313b3d87179,0x7cec9bbbcb190b57f76d82a2ec83eda66f96c94f,2.81e+18,0,0.1,0
0xd063435d7cab1a792e1d56f7aab04313b3d87179,0x440bce611eb1a546d02a0da02be1ea852fca6859,4.27e+18,0,0.1,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x9e8d1a8a5b3824109d04965531a5746ac7ae2eb6,1.46e+16,0,0.05,0
0xd94cda1126aad542b1982aa6d3afd8a785f93ba4,0x748e668579ae9bbcd1d001cbfe9d89d5d195f91f,5.77e+16,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x23b2a1113e3c72b6ce943cfb6eba7148f4aff0c2,5.92e+16,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x558a9497e5ea326c9e157d5c4964cca87ccdb756,7.25e+16,0,0.05,0
0xd0395bff72c5a1656385a18d70ee51338cfee4f3,0xb71d2e73b4a44de5b844a6ae11e3207108280419,1e+18,0,0.05,0
0xd30de5f399aee1c63905e968092dadc0a61b75b5,0xc02a9046d01624452526d18627783e83f9e7099c,2.6e+18,0,0.05,0
0xd30de5f399aee1c63905e968092dadc0a61b75b5,0xe6ec641ab9f836d2565923e8b401d6a9152b6813,2.61e+18,0,0.05,0
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x40300a6e94ca5486f59d33a004aad5cf15ddb4d0,1000000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xa7e6b3670f071e55420557e5a66e5b765ad12235,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x7d2cf8ef6606f1be4e14234e6b0043bf7e67e13e,7500000000000000.0,0,0.05,0
0x247ae9af7d47ebe7d4855ca2000581d1eb5faecb,0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,2.19e+17,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xf7fcc18b0399a222f763dcd50624b47d608c73bc,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x11e041a40677a8ea1cb5aa6cc6983a6f9f37fa20,10000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x173a1610a4ae7d67b399f67a396bad7d09c0ea2b,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xb873340337ae1fc18deccfd9fdae29376dfa7f82,457630000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xe9c4c4e93ee47b971e1a206a08d47c3a64e2e6e4,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x98aabdba37319ef1c1143617f78cc1ae317cd81f,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x974e3885306fcb7a44f8446112b501290c52dc1b,7500000000000000.0,0,0.05,0
0x64420eeed0c8cad63854f81579d4475d10dcbed1,0xf7317051f5fa9fca7430af3e1e17dafa03be3522,2.58e+16,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0xb88008c52b1e30693e8a7d2fab29a0c4c7bae414,1.26e+16,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x974e3885306fcb7a44f8446112b501290c52dc1b,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x7d2cf8ef6606f1be4e14234e6b0043bf7e67e13e,7500000000000000.0,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0x19eb810763e796b29e1c4d58beba8172e7f228ce,7500000000000000.0,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0xb88008c52b1e30693e8a7d2fab29a0c4c7bae414,1.24e+16,0,0.05,0
0x304cc179719bc5b05418d6f7f6783abe45d83090,0xdbb4a21beb2bb275c2659824de5fe4c54cd9ea94,7500000000000000.0,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xca5a7c2b750572c342e2089dd47f1250396606cf,2.86e+19,0,0.15000000000000002,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x0396220b06acd89b09c039830811d12472e2bb17,3.33e+17,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x9d140cafe4452010a58b788557ae87b7b48c1304,1e+19,0,0.05,0
0x5196a560ea9777fa9313899c429c41ec0edee87f,0x1d8e52d28530b2a16967c44c0a64cd7a07fd4844,8e+18,0,0.1,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x3d576b8e3007be27abc5ec24d4752f239558c727,3.17e+17,0,0.05,0
0xa06c62b5f5f632b829857a2c84f5eb8dfcd5eb1e,0x435395cbe5af424d039d32594b7e9c51779fe82f,2e+16,0,0.05,0
0x44de2e2b1f378d51e0d2a2ae5ebe4d427ab955a9,0x550a0756c7f917b5cd01166afead6c278d33da7c,5.24e+16,0,0.05,0
0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,0x6cc4ae04c9fb2efd9ce49b9597d64b96d640dcc0,4.99e+17,0,0.1,0
0xf967b0403b8b549824bda18ec58c8a1629821c74,0x71d24ad893eda8ab42457f283162b339cbf81bec,5.42e+16,0,0.05,0
0x072016e7b237d7c77223a7f4d8a4ab57637f6925,0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,2e+17,0,0.05,0
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0xa17dfca964dbae13fea3bdeac77b07affff42767,1e+18,0,0.05,0
0xf793d96a2a3b64fe00bfba6e81ccc0c8830ba38e,0xbf406449d07a4491eadfe57ed02d5f76f2d9e8f7,5.09e+16,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4a2413e2965813517a97b927bc931b39b7836f6a,2.45e+17,0,0.05,0
0x1fc8f49ee403b661f718e8b561813d055e7d8b76,0x35a61817ecc7ddc94f94699571d8a06b7af728dc,1.6e+17,0,0.05,0
0xd1c53e90bba4fdabe3fdb49b3a3294da2e2fd8c3,0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,1e+18,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x0006c9e7bec9d239b8b08a48c3c4a0ac7dfca848,2e+18,0,0.05,0
0xe01d9789f5d09657e9bd7dc1a1534f5c710219e5,0xb8f1658e10e87b9ffa3a140dd8d1dce764ac0a65,2e+17,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xcdbe5c54d75ea03526b2241a1d79329805ac23bf,2.6e+18,0,0.05,0
0xf26dd24b7d3deefb583f26c9f5eae94ead917d89,0x63e7b90ee50bec4c6a815dcc0eb0d346e69cd41f,5e+18,0,0.05,0
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x0d69d0db6bbfb41bf4132a58500c5cf8f748c84d,2.39e+18,0,0.05,0
0xde1fb5bf2927fbf87298224c4d8a993918dae295,0x31fc54c27a74a15fef81574f981387d678bc22d2,4.06e+18,0,0.05,0
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0x791f946cc351974b967b8ed599e33a596b122b61,9.9e+17,0,0.05,0
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xf5244a47b656b5c589967ad0974acec42297b7b8,1.8e+21,0,0.15000000000000002,0
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfcde4905379f21f1b25ec1590e34e3de6226db73,7.06e+20,0,0.15000000000000002,0
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,6e+20,0,0.15000000000000002,0
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x64ec24cfa1cc9c68c84fa65bcaf2a8b213c6b616,6e+17,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x00bf8ef866b3d8139c982961f6850fadc17f1d48,2.3e+19,0,0.15000000000000002,0
0x3e65303043928403f8a1a2ca4954386e6f39008c,0x2a8366a366577e9c4ec4a90f96dd44abddcb1587,3.79e+19,0,0.15000000000000002,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x228112c7c1437e4d66fa90bc078fdbf9909c870d,1e+19,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x1f7b63d186b4abd7c58f9bf27b1aad738463dee8,1e+19,0,0.05,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4e34c9d4cee3ea8242e4adff0207dcfd00445bb5,1.85e+18,0,0.05,0
0xd6ac30360b30d83d5e37b7f8e6ef34fabd06a732,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,5.29e+17,0,0.1,0
0xaea3c870c6e3cb3fd44a1051b98e74f81335e514,0x04645af26b54bd85dc02ac65054e87362a72cb22,2.76e+17,0,0.1,0
0xd0bada7d21d3016801e1c2238cc523a4974bdf2a,0x2b6489aa54cbe16bd87db4d9dd1e190ed2ebc677,5.44e+17,0,0.1,0
0xdcc705cc8702934a7936059533a18519d807c292,0x04645af26b54bd85dc02ac65054e87362a72cb22,3.59e+17,0,0.1,0
0x4092dc2445cff61d293dfe4cc01937dc48294605,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,6.17e+17,0,0.1,0
0x5c3422f33c4c07c5d2cb7e1e2700e16b5aa1f63c,0x304e2e6dd8785778f314e02ba214fb74d7d4101b,1.13e+18,0,0.1,0
0xf0da9c56f76fdf75809e34dd89a5b9eb274214e8,0x82ab4851dcc3e6f18c9e904e86aefedb13576cfe,2.88e+17,0,0.1,0
0x030eefa7396ccaed1a7cc5836ccfc0047193db13,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,4.51e+17,0,0.1,0
0x754d97a5a7b5f336d89bd4d924c296d0dea6efbc,0x304e2e6dd8785778f314e02ba214fb74d7d4101b,6.65e+17,0,0.1,0
0x2c44a1649b144d5b9e9b0ed0130ea07519f8e4e2,0x42dc966b7ecc3c6cc73e7bc04862859d5bddce65,7.3e+17,0,0.1,0
0x7845c25cdfe105f634b5f231851ed2eaf89c0449,0x3b0e20b3bea1fd1e24dfbbc9d3fcafd30fde8ff8,1.45e+18,0,0.1,0
0x377c827ded3cf56c33011d859ac4008374412c34,0x304e2e6dd8785778f314e02ba214fb74d7d4101b,1.21e+18,0,0.1,0
0x4f4aa59757c5e54fa67a819ed66437eab3f2a15a,0x2b6489aa54cbe16bd87db4d9dd1e190ed2ebc677,6.5e+17,0,0.1,0
0xe33426528c4fd2c982d03de3da60ec6005a804a9,0xf881bcb3705926cea9c598ab05a837cf41a833a9,4.87e+17,0,0.1,0
0x75428e9815412ddfd198e3e8d098f618be591934,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,1.83e+18,0,0.1,0
0x8478a866ad740b2f48b901861028bed96150c84c,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,4.86e+17,0,0.1,0
0x3528154486a7b1e7d307c5c3ce5009b02670f56f,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,2.47e+17,0,0.1,0
