address,agent_score,agent_pred,flags,ground_truth,correct
0xbb0ea877...,0.9,1,['mock'],1,True
0x3dad01bb...,0.9,1,['mock'],1,True
0x792b5d10...,0.9,1,['mock'],1,True
0x739f89f1...,0.9,1,['mock'],1,True
0xea674fdd...,0.9,1,['mock'],1,True
0x9f4562c9...,0.9,1,['mock'],1,True
0xab8ae38a...,0.9,1,['mock'],1,True
0xef57aa4b...,0.9,1,['mock'],1,True
0x970c92a1...,0.9,1,['mock'],1,True
0x2d516e32...,0.9,1,['mock'],1,True
0x6a777ac0...,0.9,1,['mock'],1,True
0x9d23d71b...,0.9,1,['mock'],1,True
0x34d91484...,0.9,1,['mock'],1,True
0x1efddcf4...,0.9,1,['mock'],1,True
0x89a94b48...,0.9,1,['mock'],1,True
0xac471429...,0.9,1,['mock'],1,True
0xe0d60805...,0.9,1,['mock'],1,True
0x062cef10...,0.9,1,['mock'],1,True
0x0aad17c5...,0.9,1,['mock'],1,True
0x4d90a9b9...,0.9,1,['mock'],1,True
0x99b20de0...,0.9,1,['mock'],1,True
0x5c377600...,0.9,1,['mock'],1,True
0x00bb2564...,0.9,1,['mock'],1,True
0x945a9d94...,0.9,1,['mock'],1,True
0xeeb0542f...,0.9,1,['mock'],1,True
0x62e36aa2...,0.9,1,['mock'],1,True
0xe0c18aef...,0.9,1,['mock'],1,True
0x6a32f121...,0.9,1,['mock'],1,True
0xe72bad3c...,0.9,1,['mock'],1,True
0x81d88135...,0.9,1,['mock'],1,True
0x6b4bcdf2...,0.9,1,['mock'],1,True
0xf9d0a651...,0.9,1,['mock'],1,True
0x1a85e1a3...,0.9,1,['mock'],1,True
0xb24181d8...,0.9,1,['mock'],1,True
0x9d2206ca...,0.9,1,['mock'],1,True
0xe5c21241...,0.9,1,['mock'],1,True
0x9aa0ba86...,0.9,1,['mock'],1,True
0x3f0f86bc...,0.9,1,['mock'],1,True
0x98c97b38...,0.9,1,['mock'],1,True
0xe39158a0...,0.9,1,['mock'],1,True
0xb4dc305f...,0.9,1,['mock'],1,True
0x8c6cf24f...,0.9,1,['mock'],1,True
0xa54f84bd...,0.9,1,['mock'],1,True
0x8ca4949d...,0.9,1,['mock'],1,True
0x0e03b2f1...,0.9,1,['mock'],1,True
0x7aa3bca1...,0.9,1,['mock'],1,True
0x9ad251ca...,0.9,1,['mock'],1,True
0xb37b05ae...,0.9,1,['mock'],1,True
0x690ddf54...,0.9,1,['mock'],1,True
0x97b09f8a...,0.9,1,['mock'],1,True
0x267be1c1...,0.1,0,['mock'],0,True
0x304cc179...,0.1,0,['mock'],0,True
0x323b10c3...,0.1,0,['mock'],0,True
0x44de2e2b...,0.1,0,['mock'],0,True
0xd063435d...,0.1,0,['mock'],0,True
0x7b5ac12c...,0.1,0,['mock'],0,True
0xa0bb4ba1...,0.1,0,['mock'],0,True
0xd94cda11...,0.1,0,['mock'],0,True
0xd0395bff...,0.1,0,['mock'],0,True
0xd30de5f3...,0.1,0,['mock'],0,True
0x4b01721f...,0.1,0,['mock'],0,True
0x247ae9af...,0.1,0,['mock'],0,True
0x64420eee...,0.1,0,['mock'],0,True
0x5196a560...,0.1,0,['mock'],0,True
0xa06c62b5...,0.1,0,['mock'],0,True
0xf967b040...,0.1,0,['mock'],0,True
0x072016e7...,0.1,0,['mock'],0,True
0x75e7f640...,0.1,0,['mock'],0,True
0xf793d96a...,0.1,0,['mock'],0,True
0x1fc8f49e...,0.1,0,['mock'],0,True
0xd1c53e90...,0.1,0,['mock'],0,True
0xe01d9789...,0.1,0,['mock'],0,True
0xf26dd24b...,0.1,0,['mock'],0,True
0x1151314c...,0.1,0,['mock'],0,True
0xde1fb5bf...,0.1,0,['mock'],0,True
0xd24400ae...,0.1,0,['mock'],0,True
0x3e653030...,0.1,0,['mock'],0,True
0xd6ac3036...,0.1,0,['mock'],0,True
0xaea3c870...,0.1,0,['mock'],0,True
0xd0bada7d...,0.1,0,['mock'],0,True
0xdcc705cc...,0.1,0,['mock'],0,True
0x4092dc24...,0.1,0,['mock'],0,True
0x5c3422f3...,0.1,0,['mock'],0,True
0xf0da9c56...,0.1,0,['mock'],0,True
0x030eefa7...,0.1,0,['mock'],0,True
0x754d97a5...,0.1,0,['mock'],0,True
0x2c44a164...,0.1,0,['mock'],0,True
0x7845c25c...,0.1,0,['mock'],0,True
0x377c827d...,0.1,0,['mock'],0,True
0x4f4aa597...,0.1,0,['mock'],0,True
0xe3342652...,0.1,0,['mock'],0,True
0x75428e98...,0.1,0,['mock'],0,True
0x8478a866...,0.1,0,['mock'],0,True
0x35281544...,0.1,0,['mock'],0,True
0x0554f656...,0.1,0,['mock'],0,True
0x45ee8f01...,0.1,0,['mock'],0,True
0x97ff337b...,0.1,0,['mock'],0,True
0x777725df...,0.1,0,['mock'],0,True
0x0d27cb88...,0.1,0,['mock'],0,True
0x4c7809a0...,0.1,0,['mock'],0,True
